,original_id
300,0671676253
301,0688117619
302,0688149790
303,0688161162
304,0698119509
305,0716723980
306,0716724022
307,0764550039
308,0765342987
309,0765345048
310,0786861320
311,0786880007
312,0812090381
313,0812500865
314,0812516850
315,0812520157
316,0812521358
317,0812523040
318,0812523679
319,0812532554
320,0812532597
321,0812532619
322,0812532635
323,0812532961
324,0812532988
325,0812533313
326,0812533550
327,0812533577
328,0812533658
329,0812535219
330,0812575717
331,0836204387
332,0836218256
333,0836218787
334,0836220889
335,0836221362
336,0874936225
337,0875962432
338,0880887575
339,0882710583
340,0886773776
341,0886773784
342,0886774004
343,0886774012
344,0886774144
345,0886774543
346,0886774632
347,0886775035
348,0886775043
349,0886775167
350,0886775205
351,0886775493
352,0886775639
353,0886775876
354,0886776120
355,0886776589
356,0886776619
357,0886777011
358,0886777127
359,0886777151
360,0886777208
361,0886777550
362,0886777593
363,0886777739
364,0886778603
365,0889652066
366,0894716174
367,0895295458
368,0895779129
369,0912500522
370,0912500867
371,0920668372
372,0965921506
373,0965987302
374,1556432151
375,1558506438
376,1559274581
377,156305700X
378,1891400495
379,0060987529
380,0064472779
381,0140022651
382,0142302163
383,0151008116
384,015216250X
385,0345260627
386,0345283554
387,0345283929
388,034528710X
389,0345307674
390,0345314255
391,0345317580
392,0345335287
393,0345362276
394,0345375580
395,0345423038
396,0373614845
397,0373614896
398,037361490X
399,0373619472
400,0373619499
401,0373619502
402,0373638078
403,0373638167
404,0373642849
405,0373642857
406,0373642911
407,037364292X
408,0373765649
409,037379116x
410,0380570009
411,038513097x
412,0394553284
413,0394563131
414,0394707745
415,0394843509
416,042516540X
417,0439176824
418,0439222303
419,0439240700
420,0440920221
421,0441000150
422,0441000762
423,0451077237
424,0451137965
425,0486270718
426,051512463X
427,0515127396
428,0515134384
429,0515136557
430,0553073273
431,0590109715
432,0590109960
433,0590213040
434,059035342X
435,0590448285
436,0590448315
437,0590448323
438,0590448595
439,059045367X
440,059046678X
441,059047054X
442,0590629778
443,0590629786
444,0590629794
445,0590629808
446,0590879979
447,0590880748
448,0590880780
449,0590956159
450,0671001868
451,0671038931
452,0671527215
453,0671529714
454,0671532642
455,067166865X
456,0671695304
457,0671751174
458,0671802283
459,0671803530
460,0679023755
461,0679805265
462,0679811761
463,0688047211
464,068808527X
465,0698119916
466,0743486625
467,0786807555
468,0786814241
469,0803298145
470,0806512318
471,0807842613
472,0812505042
473,0886774500
474,0898863538
475,093317490X
476,097089726x
477,1558504184
478,1561008931
479,1565111575
480,1570420564
481,1572970944
482,0020960808
483,0030632366
484,0061030643
485,0061098353
486,0061099155
487,0071407944
488,0131953621
489,0133143023
490,0139634479
491,031209261X
492,0312191952
493,0312855486
494,0312974728
495,0312983220
496,0312989385
497,0340182563
498,0345257448
499,0345272463
500,0345275187
501,0345275497
502,034528643X
503,0345308476
504,0345315642
505,0345357620
506,0345361407
507,0345379144
508,0345382447
509,0345397371
510,0345404793
511,0345423615
512,0345447867
513,0345460693
514,0380002930
515,0380482800
516,0380542625
517,038072880X
518,0380770210
519,0385018681
520,0385505833
521,0393310477
522,0394499026
523,0395247764
524,0399129723
525,0399146725
526,0425033260
527,0425037967
528,0425039048
529,0425047253
530,0425050424
531,0425052990
532,0425053008
533,0425054578
534,0425055272
535,0425056023
536,0425058190
537,0425062856
538,0425119653
539,0425170470
540,0425172546
541,0425182908
542,0440110602
543,0440128757
544,0440145465
545,0440220793
546,0440221471
547,0440236673
548,0440237424
549,0440948754
550,0441065848
551,0441116868
552,0441317502
553,044173684X
554,0446327085
555,0446349461
556,0446364622
557,0446518220
558,0446521612
559,0446609323
560,0446612790
561,0446613681
562,0446794031
563,0446936383
564,0449007383
565,0449209695
566,044921852X
567,0449232085
568,0449236714
569,0449237842
570,0449240886
571,0449703274
572,0449903001
573,0451115589
574,0451163710
575,0451171845
576,0451204891
577,0451401905
578,0451452305
579,0451452941
580,0451454081
581,0451454499
582,0451456726
583,0460016989
584,0515130125
585,0515135747
586,0534129064
587,0553052691
588,0553144286
589,055323577X
590,0553236679
591,0553240307
592,0553246089
593,0553258311
594,0553263226
595,0553289640
596,0553290797
597,0553574582
598,0553575538
599,0553576801
600,0553582526
601,0553583468
602,0553584510
603,0553585118
604,0553585681
605,0671016768
606,0671428306
607,0671442260
608,0671442686
609,0671473905
610,0671531360
611,0671547305
612,0671622358
613,0671625810
614,0671635743
615,0671653601
616,0671658875
617,0671660632
618,0671669583
619,0671721178
620,0671721224
621,0671721542
622,0671729446
623,0671743872
624,0671795988
625,0671797050
626,0671806769
627,0671832867
628,0671833987
629,0671836927
630,0671876015
631,0679504885
632,0684803976
633,0684852802
634,0743412753
635,0743424387
636,0756400147
637,0756400619
638,0758201931
639,0786006579
640,0805063897
641,0812513711
642,0812517725
643,0812545540
644,0812575962
645,0812585151
646,0812880145
647,082171306X
648,087216683X
649,0872168026
650,0878331824
651,0882293613
652,0882840185
653,0886771897
654,0886772222
655,0886772559
656,0886772850
657,0886773199
658,0886779200
659,088950900X
660,089529768X
661,0897890272
662,0931580366
663,1556111401
664,1556522347
665,1559702125
666,1559723009
667,1562059513
668,1893224902
669,006000438X
670,0060175966
671,0060517794
672,0060915544
673,0060923202
674,0060926201
675,0060926465
676,0060929871
677,0060930187
678,006093090X
679,0060956291
680,0060964049
681,0060977191
682,0060984333
683,006251184X
684,0064401774
685,0066209463
686,0140042598
687,0140070206
688,0140244824
689,014028009X
690,015600710X
691,0156007754
692,0156907399
693,0231121008
694,0312032978
695,0312093004
696,0312150601
697,0312169868
698,0312186886
699,0312187106
700,0312187343
701,0312243111
702,0312283474
703,0316096199
704,0316169226
705,0316666343
706,0316691178
707,0316789844
708,0316899984
709,0345386574
710,0345389247
711,0345403339
712,0345410289
713,0345410394
714,0345410424
715,0345423097
716,0345423291
717,0345424719
718,0345433491
719,0345443284
720,0375406530
721,0375411550
722,0375412557
723,0375500510
724,0375701966
725,037570504X
726,0375705856
727,0375707972
728,0375724443
729,0375726624
730,0380005239
731,0380728826
732,038072975X
733,0380729768
734,0380730138
735,0380732149
736,0380820145
737,0385265700
738,0385314256
739,0385317042
740,0385318782
741,0385319207
742,0385333293
743,038533334X
744,0385502532
745,0393029603
746,0393956539
747,0394563158
748,0395859972
749,0395908728
750,0395977711
751,0399142789
752,0399145079
753,0425168700
754,0425184757
755,0446310786
756,0446516538
757,0446677450
758,0449002985
759,0449911004
760,0451184149
761,0452260116
762,0452264790
763,0452271045
764,0452280621
765,0452280699
766,0452282098
767,0452282438
768,0452282829
769,0452283167
770,0520222571
771,0609608738
772,067003178X
773,0670887315
774,0670892963
775,0671038184
776,0671510053
777,0671748092
778,0679411267
779,0679414614
780,0679416730
781,0679723056
782,0679723692
783,0679755624
784,067976402X
785,0679774025
786,068480087X
787,068484267X
788,068484270X
789,068484477X
790,0684852047
791,0688176992
792,0688177859
793,0743227840
794,0743411358
795,0743439740
796,0786860219
797,0786866470
798,0786869011
799,0786884622
800,0802131867
801,0802136265
802,0802138578
803,0805031871
804,0812968344
805,0871138328
806,0914913360
807,1400061598
808,1558746161
809,1559704640
810,1565122437
811,1565122968
812,1569470901
813,1571310169
814,1571740562
815,1573225789
816,1573228281
817,1582340765
818,1878067990
819,1879941201
820,0061083402
821,0061093343
822,0061096156
823,0312956762
824,0312980353
825,0345446100
826,0373024665
827,0373025920
828,0373032072
829,0373035101
830,0373051921
831,0373072422
832,0373074123
833,0373074492
834,0373074808
835,0373075286
836,0373076223
837,0373076371
838,0373076592
839,0373076746
840,0373076932
841,0373077289
842,0373078056
843,0373088701
844,0373092741
845,0373093799
846,0373093829
847,0373095244
848,0373096585
849,0373096828
850,0373097840
851,0373098006
852,0373098677
853,0373098847
854,0373098855
855,0373098987
856,0373099150
857,0373099169
858,0373099568
859,037310507X
860,0373105401
861,037310667X
862,0373106734
863,0373107072
864,0373109040
865,0373111622
866,0373114931
867,0373115458
868,0373116373
869,0373117949
870,0373118651
871,0373118716
872,0373121369
873,0373151896
874,0373160011
875,0373161387
876,0373162111
877,0373162227
878,0373164386
879,0373165048
880,0373165544
881,0373165595
882,0373165811
883,037316596X
884,0373166931
885,0373166958
886,0373168527
887,0373168705
888,0373168721
889,0373168748
890,0373168802
891,0373168829
892,0373169175
893,0373169191
894,0373169264
895,0373169299
896,0373169302
897,0373169329
898,0373169361
899,0373169469
900,0373169477
901,0373169493
902,037316954X
903,0373169566
904,0373169620
905,0373169639
906,037316968X
907,0373169760
908,0373169868
909,0373169884
910,037319692X
911,0373201427
912,0373201575
913,0373222289
914,0373222823
915,0373223455
916,0373224915
917,0373225202
918,0373241224
919,037324343X
920,0373243685
921,0373253184
922,0373254547
923,0373254571
924,0373255500
925,037325668X
926,0373288050
927,0373288093
928,0373288212
929,0373288646
930,0373288727
931,0373288816
932,037328926X
933,0373289421
934,0373289871
935,037329011X
936,037329056X
937,0373291019
938,0373291183
939,0373291213
940,0373292155
941,0373451806
942,0373451903
943,0373451911
944,0373482949
945,0373482957
946,0373484070
947,0373501749
948,0373501757
949,0373650396
950,037365054X
951,0373704070
952,0373705247
953,0373706448
954,0373706898
955,037370707X
956,0373710291
957,0373765053
958,0373790538
959,0373898347
960,0380815346
961,0380818078
962,0380897857
963,0425105156
964,0440112907
965,0440169836
966,0441007147
967,0441023142
968,0445206608
969,0446356859
970,0446356875
971,0446360511
972,0446360708
973,0446360732
974,0446364290
975,0446364312
976,0446600342
977,0446602558
978,0446603090
979,0446606448
980,0449005844
981,0449129047
982,0449140180
983,0449232131
984,0451180143
985,0515058181
986,051506162X
987,0553217771
988,0553218298
989,0553219510
990,0553220284
991,0553279335
992,0553289993
993,0553443119
994,0553444433
995,0553445006
996,0553567683
997,0553576011
998,0671019147
999,0671025384
1000,0671042092
1001,0671460412
1002,0671469134
1003,0671495429
1004,0671519077
1005,0671535706
1006,0671775235
1007,067178577X
1008,0743436466
1009,0786000139
1010,0786005416
1011,0821718053
1012,0821718398
1013,082173427X
1014,0821740296
1015,0821744798
1016,0821745085
1017,0821746219
1018,0821749374
1019,0821758969
1020,0821760459
1021,0821767720
1022,084394272X
1023,0843946466
1024,0886778212
1025,0931122651
1026,1551660016
1027,155166531X
1028,1551666014
1029,1551667436
1030,1565970519
1031,0020199856
1032,0060174900
1033,0060909005
1034,006093316X
1035,0060987324
1036,0061014788
1037,0062731009
1038,0062731025
1039,014019536X
1040,0140266933
1041,0140277749
1042,0140293248
1043,015696158X
1044,0312191189
1045,0312860226
1046,0312966970
1047,0312976275
1048,0345301110
1049,0345334531
1050,0345385209
1051,0345409671
1052,0345409876
1053,0345423402
1054,0375401598
1055,0375704469
1056,0375757295
1057,0380789035
1058,0380790947
1059,0380790963
1060,0380795736
1061,0380802317
1062,0380812029
1063,0380817683
1064,0380818957
1065,0380819600
1066,0380820293
1067,0385285019
1068,0385315287
1069,0385484011
1070,0385720211
1071,0393027414
1072,0399142991
1073,0425152251
1074,0425173631
1075,0425176304
1076,0425178579
1077,0425181464
1078,0425181685
1079,0425183971
1080,0440108268
1081,0440210038
1082,0440214858
1083,0440225639
1084,0441005748
1085,0441007813
1086,044651652X
1087,0446606677
1088,0446609048
1089,0446671339
1090,0449200248
1091,0451191137
1092,0451191145
1093,0451191889
1094,0451403967
1095,0451524195
1096,0451524748
1097,0452281423
1098,0452281431
1099,0452281458
1100,0486270521
1101,0515093556
1102,0515131091
1103,0525934960
1104,0553212451
1105,0553299611
1106,0553584782
1107,0582292190
1108,0671680110
1109,0671742493
1110,0671887173
1111,0679433015
1112,0679454470
1113,0679454489
1114,0679720200
1115,0679724516
1116,067973225X
1117,0679736395
1118,0679763309
1119,0679785892
1120,0684801558
1121,0684818981
1122,0684822768
1123,0684824485
1124,068482499X
1125,068483183X
1126,0684839075
1127,074340596X
1128,0761116230
1129,0786808012
1130,0804001480
1131,0804002800
1132,0805417761
1133,0811212475
1134,0811824225
1135,0812540026
1136,0812566688
1137,0813522137
1138,0821771116
1139,0821771159
1140,0821771418
1141,0874776945
1142,087542791X
1143,0894803204
1144,0918949165
1145,093158079X
1146,0937858668
1147,1551668289
1148,1551668483
1149,1551668637
1150,1551668653
1151,1558508473
1152,1558744150
1153,156333609X
1154,1573228745
1155,1573245003
1156,1580050158
1157,1580174493
1158,1862042055
1159,1879237741
1160,1889295000
1161,0002244098
1162,0006385370
1163,0006480608
1164,0060934417
1165,0060935464
1166,0060958022
1167,0060975547
1168,0060987103
1169,0140252525
1170,0140285822
1171,0140291091
1172,014029984X
1173,0141000252
1174,0142001430
1175,0143033603
1176,015100658X
1177,0156006391
1178,0156012022
1179,0312099436
1180,0312130279
1181,0312144075
1182,0312195516
1183,0312199406
1184,0312205546
1185,0312243022
1186,0312267568
1187,0312282990
1188,0312283377
1189,0312291639
1190,0312301731
1191,0330392611
1192,0340728256
1193,0345417941
1194,0345418018
1195,0345419030
1196,0374521956
1197,0375705198
1198,0375706062
1199,0375706410
1200,0375707425
1201,037570745X
1202,0375724834
1203,0375726403
1204,0385333641
1205,0385333706
1206,038542017X
1207,0385475772
1208,0385494785
1209,0385720327
1210,0385720467
1211,039592720X
1212,0446670251
1213,0446678457
1214,0449910830
1215,0452264464
1216,0452270073
1217,0452272726
1218,0521662605
1219,0525941916
1220,0571212212
1221,0670872202
1222,0671679430
1223,0676971997
1224,0679455116
1225,0679724362
1226,0679731156
1227,0679745653
1228,0679746048
1229,0679751521
1230,0679767207
1231,0679767770
1232,0679777547
1233,0684195488
1234,0684800713
1235,0684803356
1236,0684850273
1237,0684852225
1238,0684853868
1239,0684865726
1240,074341005X
1241,0743458036
1242,0747545634
1243,0767902041
1244,0771014538
1245,0771014902
1246,0771041837
1247,0771054602
1248,0771079567
1249,0771095651
1250,0773759697
1251,0802137849
1252,0864922299
1253,0871136791
1254,0888012055
1255,0889951926
1256,0920897533
1257,1550135570
1258,1550223968
1259,1550541129
1260,1550548166
1261,1550548409
1262,1551924579
1263,1552630110
1264,1552633470
1265,1552634523
1266,1552782395
1267,156924703X
1268,1569471169
1269,1573227331
1270,1573228214
1271,1573229326
1272,1573229717
1273,1853262714
1274,1861590466
1275,1861591799
1276,1894294424
1277,1895411416
1278,1895837618
1279,0020223722
1280,0020446500
1281,0024103411
1282,0027582000
1283,0028610105
1284,0060171928
1285,0060177888
1286,0060256680
1287,0060256745
1288,0060392452
1289,0060955597
1290,0060960833
1291,0062734547
1292,0064400565
1293,0064402053
1294,0064405052
1295,0064430677
1296,0064473627
1297,0066211662
1298,0140067477
1299,014017737X
1300,0140257934
1301,0140328696
1302,0140390316
1303,014050639X
1304,0152018255
1305,0152420371
1306,015602943X
1307,0156189216
1308,0156717204
1309,0201107120
1310,0201626705
1311,0307122379
1312,0307960374
1313,0312112629
1314,0312327188
1315,0312950586
1316,0312952716
1317,0312966091
1318,0312980140
1319,0316139289
1320,0316460842
1321,0316548189
1322,0316569321
1323,0345326342
1324,0345330455
1325,0345335236
1326,0345392825
1327,0345440145
1328,0374525234
1329,0375504613
1330,0375725784
1331,0375727345
1332,0375810838
1333,0380009471
1334,0380017199
1335,0380600129
1336,0380706725
1337,0380715899
1338,0380717085
1339,0380731398
1340,038078047X
1341,0380792737
1342,0380807343
1343,0380813815
1344,0385176228
1345,0385468628
1346,0385484518
1347,0394404289
1348,0394752996
1349,039480001X
1350,0394837037
1351,0394889568
1352,0395304482
1353,0395498589
1354,0395713730
1355,0399233881
1356,039923392X
1357,0399238786
1358,0399238794
1359,0425095517
1360,0425103285
1361,0425153061
1362,0425167054
1363,042519485X
1364,0439087171
1365,0439162521
1366,0440206154
1367,0440222656
1368,0440224675
1369,0440400597
1370,0440430712
1371,0440487617
1372,0440498058
1373,0440952522
1374,0440998050
1375,0441003257
1376,0445205377
1377,0446343455
1378,0446532231
1379,0446611328
1380,0446675504
1381,0449702766
1382,0451199634
1383,0451821971
1384,0517093650
1385,0517149257
1386,0517881225
1387,0553151657
1388,0553210092
1389,0553274325
1390,0553342762
1391,0553560247
1392,0553560468
1393,0609610597
1394,0618043012
1395,0618164723
1396,0670868434
1397,0670874914
1398,0670894605
1399,0671204971
1400,067150987X
1401,0671625837
1402,0671683829
1403,067187893X
1404,0679411089
1405,0679454446
1406,0679769781
1407,0684818701
1408,0684859777
1409,0684863871
1410,0684867672
1411,0688106390
1412,0688108059
1413,0689304374
1414,0689866976
1415,0696010976
1416,0711919518
1417,0740718770
1418,0760700761
1419,076110481X
1420,0761106332
1421,0761121323
1422,0761125493
1423,0762400072
1424,0767900316
1425,0767903617
1426,0785813640
1427,0786817070
1428,0786869216
1429,0786882506
1430,0786885688
1431,0805002545
1432,0807083054
1433,0809117541
1434,0813511690
1435,0816704317
1436,0836218353
1437,0836218655
1438,0836220730
1439,0836220986
1440,0870679546
1441,0877796130
1442,0880291230
1443,088138044X
1444,0890876797
1445,0894802046
1446,0894803921
1447,0896103145
1448,0910043590
1449,0912656506
1450,0916291456
1451,0930878450
1452,0962307203
1453,0964335905
1454,0967418305
1455,1400032717
1456,1400045088
1457,1551520559
1458,1555913458
1459,1556701799
1460,1561633259
1461,1563051729
1462,1563052377
1463,1563053462
1464,1564020703
1465,156402976X
1466,156619945X
1467,1566471575
1468,1566911605
1469,1569248281
1470,1573060194
1471,1573420387
1472,1574780255
1473,1579590225
1474,1859674801
1475,1880985020
1476,188521135X
1477,188712876X
1478,1888363363
1479,1890132322
1480,0002712172
1481,0060002433
1482,0060093595
1483,006019295X
1484,0060503467
1485,0060523905
1486,0060745908
1487,0060958111
1488,0061009504
1489,0061020710
1490,0061031550
1491,0061099015
1492,0061099643
1493,0066211239
1494,0066212545
1495,0066212901
1496,0140065504
1497,0140092862
1498,0140119507
1499,014025448X
1500,014025644X
1501,0140265686
1502,0140270590
1503,0140280553
1504,0140280898
1505,0141002166
1506,0142000361
1507,0142001740
1508,0142004278
1509,0312042779
1510,0312282621
1511,0312282664
1512,0312287984
1513,0312289723
1514,0312306326
1515,0312313810
1516,0312318898
1517,0312951469
1518,0312963238
1519,0312964285
1520,0312966679
1521,0312966695
1522,0312978863
1523,0312979096
1524,0316107093
1525,0316365521
1526,0345297709
1527,0345326490
1528,0345342968
1529,0345436911
1530,0345443128
1531,0345445848
1532,0345450302
1533,0374100128
1534,0374129851
1535,0375411070
1536,0375422412
1537,0375502971
1538,0375505296
1539,0375508112
1540,0375704027
1541,0375709118
1542,038000741x
1543,0380780860
1544,0380784491
1545,0380792745
1546,0380806355
1547,0380842939
1548,0380978415
1549,0385488181
1550,038548951X
1551,0385495420
1552,0385721420
1553,0385722206
1554,039305747X
1555,0395836220
1556,0399149422
1557,0399150854
1558,0399152288
1559,0399237232
1560,0425143538
1561,0425192725
1562,0425196429
1563,0440212561
1564,0446604658
1565,0446605484
1566,0446606928
1567,0446610038
1568,0449004279
1569,0449911594
1570,0451165624
1571,0451179285
1572,0451197399
1573,0451205561
1574,0451206002
1575,0451207246
1576,0451209028
1577,0451452739
1578,0515075078
1579,0515075345
1580,0515076066
1581,0517163128
1582,0553109243
1583,0553109359
1584,0553251481
1585,0553274503
1586,055356773X
1587,0553569619
1588,0553575279
1589,0553575295
1590,0553580078
1591,055358281X
1592,0553801945
1593,0609608339
1594,060980619X
1595,0618012710
1596,0618219153
1597,0618246940
1598,0670030643
1599,0670031208
1600,067088796X
1601,0671042297
1602,0671042831
1603,0679729771
1604,067976397X
1605,0684844826
1606,0684872536
1607,0688021174
1608,0740704567
1609,0740713949
1610,0743235150
1611,0743243315
1612,0743243412
1613,0751501220
1614,0767905385
1615,0789305186
1616,0789480646
1617,0790009072
1618,0792265289
1619,0802135161
1620,0805062971
1621,0812561864
1622,0812970802
1623,0836218051
1624,0836268237
1625,0836282868
1626,0872860175
1627,0879804211
1628,0932379435
1629,1400031346
1630,1400031354
1631,1400031362
1632,140004832X
1633,1401300065
1634,1558746927
1635,1563898586
1636,1565123352
1637,1570089949
1638,1570629137
1639,1573222127
1640,1841954608
1641,1878067125
1642,0060081961
1643,0060194995
1644,0060198133
1645,0060502258
1646,0060914440
1647,0060920335
1648,0060926317
1649,0060928336
1650,0060929790
1651,0060958294
1652,0060972122
1653,0060976241
1654,0062507583
1655,0062512234
1656,0064431290
1657,0140011722
1658,0140030395
1659,0140040188
1660,0140046860
1661,0140119795
1662,014018869X
1663,0140248927
1664,0140284621
1665,0140286276
1666,014029628X
1667,0140298479
1668,0140309594
1669,0140439072
1670,0141000198
1671,0152022341
1672,015640057X
1673,0312169655
1674,0312198647
1675,0312252803
1676,0312261594
1677,0312265867
1678,0312971362
1679,0312986343
1680,0312989393
1681,0312990456
1682,0316777722
1683,0316779423
1684,0345366239
1685,034536676X
1686,0345391802
1687,0345413350
1688,0345416260
1689,0345423135
1690,034543630X
1691,0373250126
1692,0374121230
1693,037541309X
1694,0375421815
1695,037542217X
1696,0375501347
1697,0375501959
1698,0375502238
1699,037570177X
1700,0375704248
1701,037570485X
1702,0375706771
1703,0375713549
1704,0375718990
1705,0375760911
1706,0380730200
1707,038077514X
1708,0380977788
1709,0385319401
1710,0385334931
1711,0385335482
1712,0385413017
1713,0385474547
1714,038549744X
1715,0385720106
1716,0385720408
1717,0393311031
1718,0393316580
1719,0394716310
1720,0394741714
1721,0399151648
1722,042513699X
1723,0425167720
1724,0425174344
1725,0425184943
1726,044020867X
1727,0440221099
1728,0446527785
1729,0446600660
1730,0446603422
1731,0446604666
1732,0446606812
1733,0446672211
1734,0449005410
1735,0449209105
1736,0449213447
1737,0449214370
1738,0449221393
1739,0449908747
1740,0449911438
1741,0451163966
1742,0451185560
1743,0451205235
1744,0451407261
1745,0451524381
1746,0451525116
1747,0452261848
1748,0452276756
1749,0452282152
1750,0517595753
1751,0553279912
1752,0553289691
1753,0553574663
1754,060960516X
1755,0609804138
1756,0618127046
1757,0670869902
1758,0671001795
1759,0671242954
1760,0671254308
1761,0671640488
1762,0671686151
1763,0671743058
1764,0671885332
1765,0679404864
1766,0679429220
1767,0679437452
1768,0679442405
1769,0679457526
1770,0679463135
1771,0679722181
1772,0679734589
1773,0679740074
1774,0679740775
1775,0679742409
1776,0679743839
1777,0679745203
1778,0679751602
1779,0684818442
1780,0684822652
1781,0684849135
1782,0688168248
1783,068817163X
1784,0688177026
1785,0741412780
1786,0743227441
1787,0747541604
1788,0767902025
1789,0786886323
1790,080410526X
1791,0804106304
1792,080410753X
1793,0804108293
1794,0804111359
1795,0805066128
1796,0805210288
1797,0811202208
1798,0811801802
1799,0811831620
1800,081296697X
1801,0816752087
1802,0836217012
1803,0836218310
1804,0836220676
1805,0836246047
1806,0843133805
1807,0843733756
1808,0871133741
1809,0877017883
1810,0880707232
1811,0890876789
1812,0890877033
1813,0894808249
1814,0912365307
1815,0915230151
1816,0933377444
1817,0970038704
1818,1400034779
1819,1404306781
1820,1550171631
1821,1566198798
1822,1567313736
1823,156833186X
1824,1571430148
1825,1573223425
1826,1573229725
1827,1580291023
1828,185828869X
1829,1864503157
1830,1885171080
1831,0060097825
1832,0140469710
1833,0140502343
1834,0156806797
1835,0195283910
1836,030701035X
1837,0307617963
1838,0316454311
1839,0375802975
1840,0375826688
1841,0385029039
1842,0395440904
1843,0395549701
1844,0425187012
1845,043912042X
1846,0439141346
1847,0439327660
1848,043937989X
1849,0439380731
1850,043938074X
1851,0439435242
1852,0439625602
1853,0440229499
1854,0440237688
1855,044048474X
1856,0440717949
1857,0446671444
1858,0451525264
1859,0517562898
1860,0517590662
1861,055305614X
1862,0553225413
1863,0553370227
1864,0553381075
1865,0590386336
1866,0590414488
1867,0590437747
1868,0590603795
1869,0671631985
1870,0671882538
1871,0679824111
1872,0679872027
